ISBN,Title,Author,Format,Gross Qty,Returned Qty,Net Qty,Net Compensation,Sales Market
9781934840429,The Ship Killers: The Definitive Illustrated History of the Torpedo Boat,"Hinds, Joe",Hardcover,4,0,4,177.51,UK
9781608882175,Space Doctrine Publication Omnibus: Doctrine for Space Forces,United States Space Force,Hardcover,9,0,9,174.99,US
9781608880096,Cold War Saga,"Jenkins, Kempton",Paperback,18,0,18,173.13,US
9781608881109,Secrets of the Modern World: Thomas Malthus,"MacFarlane, Alan, Professor",Paperback,11,0,11,171.94,US
9781608882335,Raging Twenties: Great Power Politics Meets Techno-Feudalism,"Escobar, Pepe",Hardcover,18,0,18,170.72,DE (Global Connect)
9781934840245,"CVN-73 GEORGE WASHINGTON, U.S. Navy Aircraft Carrier","Zimmerman, W. Frederick",Paperback,17,0,17,169.42,US
9781608881079,Silly Rhymes for Fun Times,"Wigden, Susan",Paperback,26,0,26,169.36,US
9781608881635,Memories and Records: the Lord FIsher Omnibus,"Fisher, Baron Sir John Arbuthnot",Hardcover,11,0,11,169.34,UK
9781934840238,"CVN-72 ABRAHAM LINCOLN, U.S. Navy Aircraft Carrier","Zimmerman, W. Frederick",Paperback,17,0,17,168.86,US
9781934840191,"CVN-68 NIMITZ, U.S. Navy Aircraft Carrier","Zimmerman, W. Frederick",Paperback,22,0,22,165.20,UK
9781608880874,The King's English (2d edition),"Fowler, H.W.",Hardcover,21,0,21,162.41,UK
9781608880287,The Influence of Maritime Theorists Alfred Thayer Mahan and Sir Julian Corbett on the Development of German Naval Strategy 1930-1936,"Cribbs, Donald",Paperback,19,0,19,160.90,UK
9781608881154,Re-reading A GAME OF THRONES: A Critical Response to George R.R. Martin's Fantasy Classic,"Verhoeve, Remy J.",Hardcover,20,0,20,159.45,US
9781608880218,So Much for Democracy: Citizens United v. Federal Election Commission,"UNited States Supreme Court,",Paperback,18,0,18,159.37,US
9781608880324,Falling from Grace: The German Airborne (Fallschirmjager) in World War II,"Mason, Chris",Paperback,13,0,13,156.88,US
9781934840528,In the Shadow of the Battleship: Considering the Cruisers of World War II,"Worth, Richard",Paperback,20,0,20,154.32,UK
9781608880324,Falling from Grace: The German Airborne (Fallschirmjager) in World War II,"Mason, Chris",Paperback,15,0,15,153.93,UK
9781934840085,"CVN-76 RONALD REAGAN, U.S. Navy Aircraft Carrier","Zimmerman, W. Frederick",Paperback,19,0,19,153.78,UK
9781608880294,"Command and Control of the First Modern Joint Campaign: The German Invasion of Denmark and Norway, April 1940","Strahan, Robert W.",Paperback,16,0,16,153.69,US
9781608881512,United States - Vietnam Relations 1945 - 1967 (The Pentagon Papers) (Volume 6),"Office of the Secretary of Defense,",Hardcover,10,0,10,151.65,US
9781934840177,The Handbook of Fifth-Generation Warfare (5GW),"Abbott, Daniel H.",Hardcover,16,0,16,150.97,IN (Global Connect)
9781934840917,Dark Navy: The Italian Regia Marina and the Armistice of 8 September 1943,"O'Hara, Vincent",Paperback,14,0,14,150.68,IT (Global Connect)
9780978813840,Daniel Defoe's Robinson Crusoe and Alexander Selkirk,"Bruce, Stevey",Paperback,19,0,19,150.26,UK
9781608881178,Arsenal Ship Omnibus,"Zimmerman, W. Frederick",Hardcover,3,0,3,149.67,UK
9781934840191,"CVN-68 NIMITZ, U.S. Navy Aircraft Carrier","Zimmerman, W. Frederick",Paperback,15,0,15,149.49,US
9781608880737,Building the PT Boats: An Illustrated History of U.S. Navy Torpedo Boat Construction in World War II,"Andruss Sr., Frank, J.",Hardcover,7,0,7,149.39,UK
9781934840139,"Cool Maps of Iran: Persian History, Oil Wealth, Politics, Population, Religion, Satellite, WMD and More","Zimmerman, W. Frederick",Paperback,15,0,15,149.20,US
9781934840658,"The Definitive Illustrated History of the Torpedo Boat, Volume VII: 1943 (the Ship Killers)","Hinds, Joe",Paperback,15,0,15,147.36,US
9781608882342,Jane's Fighting Ships 1920 (facsimile edition),"Jane, Fred, T.",Hardcover,3,0,3,146.60,DE (Global Connect)
9781608881123,Secrets of the Modern World: Yukichi Fukuzawa,"MacFarlane, Alan, Professor",Paperback,10,0,10,145.69,US
9781608880263,"The Influence of Naval Power on the Course of the Spanish Civil War, 1936-1939","Kersh, John M.",Paperback,16,0,16,143.35,UK
9781934840610,"The Definitive Illustrated History of the Torpedo Boat -- Volume III, 1900 - 1939 (The Ship Killers)","Hinds, Joe",Paperback,11,0,11,143.01,US
9781608882595,Spar-torpedo instructions for the United States Navy,United States Naval Torpedo Station (...,Paperback,15,0,15,142.56,US
9781934840344,Battleship YAMATO: Why She Matters Today,"Zimmerman, W. Frederick",Paperback,14,0,14,139.89,US
9781934840467,"The John Boyd Roundtable: Debating Science, Strategy, and War","Safranski, Mark",Paperback,10,0,10,139.28,IT (Global Connect)
9781934840375,"War Bots: How U.S. Military Robots Are Transforming War in Iraq, Afghanistan, and the Future","Axe, David",Paperback,11,0,11,139.12,US
9781934840818,Persuader-in-Chief: Global Opinion and Public Diplomacy in the Age of Obama,"Snow, Nancy",Paperback,15,0,15,136.71,US
9781608882571,NASA Historical Investigation Into James E. Webb's Relationship To The Lavender Scare,"Odom, Brian C.",Paperback,12,0,12,135.15,US
9781608880591,Report of Operation HighJump: U.S. Navy Antarctic Development Program 1947,U.S. Navy,Hardcover,37,0,37,130.64,UK
9781934840139,"Cool Maps of Iran: Persian History, Oil Wealth, Politics, Population, Religion, Satellite, WMD and More","Zimmerman, W. Frederick",Paperback,17,0,17,130.60,UK
9781608881024,"The Regia Marina's MAS Boats, 1915-1945","Connelly, T. Garth",Hardcover,18,0,18,130.25,UK
9780978813819,The World Is Flat: Not! Cool New World Maps for Kids,"Zimmerman, W. Frederick",Paperback,15,0,15,130.22,UK
9781608881703,Survival: Training Edition: AF Manual 64-3,United States Air Force,Hardcover,33,0,33,128.86,US
9781608880263,"The Influence of Naval Power on the Course of the Spanish Civil War, 1936-1939","Kersh, John M.",Paperback,13,0,13,128.81,US
9781934840368,"Revolutionary Strategies in Early Christianity: 4th Generation Warfare (4GW) Against the Roman Empire, and the Counterinsurgency (COIN) Campaign to Save It","Abbott, Daniel H.",Paperback,13,0,13,127.64,US
